"Date","Price","Open","High","Low","Vol.","Change %"
"15-03-2016","37,077","37,225","37,317","36,883","17.78K","-0.92%"
"14-03-2016","37,420","37,505","38,142","37,283","22.60K","-0.51%"
"11-03-2016","37,610","37,740","37,815","37,408","16.53K","-0.16%"
"10-03-2016","37,670","37,150","37,740","36,655","26.99K","1.20%"
"09-03-2016","37,223","37,160","37,373","36,884","20.02K","-0.55%"
"08-03-2016","37,427","37,500","38,150","37,360","21.57K","-0.38%"
"07-03-2016","37,569","37,922","38,180","37,402","11.24K","2.03%"
"04-03-2016","36,821","36,594","37,230","36,553","0.09K","1.42%"
"03-03-2016","36,304","35,967","36,370","35,736","0.26K","0.70%"
"02-03-2016","36,051","35,680","36,151","35,680","0.39K","1.21%"
"01-03-2016","35,621","36,250","36,475","35,583","1.95K","-1.27%"
"29-02-2016","36,081","36,103","36,274","35,910","13.49K","-0.47%"
"26-02-2016","36,250","37,105","37,117","36,145","23.65K","-2.57%"
"25-02-2016","37,207","37,171","37,444","36,860","19.79K","-0.06%"
"24-02-2016","37,230","37,279","37,923","36,988","25.20K","0.15%"
"23-02-2016","37,176","36,980","37,333","36,925","17.24K","0.53%"
"22-02-2016","36,981","37,115","37,136","36,392","21.40K","-1.43%"
"19-02-2016","37,517","37,483","37,750","37,302","18.16K","-0.01%"
"18-02-2016","37,522","37,130","37,582","36,968","14.84K","0.87%"
"17-02-2016","37,197","37,350","37,406","36,933","15.93K","-0.06%"
"16-02-2016","37,219","36,900","37,470","36,777","20.73K","0.35%"
"15-02-2016","37,088","37,620","37,620","36,826","16.98K","-2.36%"
"12-02-2016","37,984","38,085","38,241","37,771","15.83K","-0.79%"
"11-02-2016","38,288","36,936","38,800","36,936","36.45K","4.10%"
"10-02-2016","36,780","37,100","37,100","36,425","22.64K","-1.26%"
"09-02-2016","37,248","37,227","37,345","36,886","20.48K","0.33%"
"08-02-2016","37,127","36,113","37,280","36,007","29.56K","3.69%"
"05-02-2016","35,806","35,866","36,093","35,526","23.10K","-0.06%"
"04-02-2016","35,829","35,599","35,995","35,541","17.84K","0.27%"
"03-02-2016","35,732","34,915","35,790","34,852","26.10K","2.66%"
"02-02-2016","34,805","34,807","35,100","34,704","14.89K","-0.19%"
"01-02-2016","34,870","34,789","35,052","34,617","16.08K","0.35%"
"29-01-2016","34,750","34,822","34,855","34,516","15.96K","-0.16%"
"28-01-2016","34,806","35,310","35,363","34,500","21.66K","-1.39%"
"27-01-2016","35,296","34,964","35,418","34,964","18.11K","1.78%"
"25-01-2016","34,679","34,277","34,800","34,277","19.29K","1.17%"
"22-01-2016","34,277","34,292","34,870","34,225","20.18K","-0.28%"
"21-01-2016","34,374","34,601","34,739","34,021","24.64K","-0.91%"
"20-01-2016","34,689","34,380","34,832","34,334","23.82K","0.76%"
"19-01-2016","34,428","34,090","34,489","33,962","22.84K","0.97%"
"18-01-2016","34,096","34,083","34,149","33,842","10.73K","0.12%"
"15-01-2016","34,054","33,738","34,489","33,670","25.01K","1.24%"
"14-01-2016","33,638","34,175","34,320","33,579","24.59K","-1.56%"
"13-01-2016","34,171","33,386","34,231","33,325","27.33K","2.34%"
"12-01-2016","33,389","33,583","33,650","33,313","20.30K","-0.82%"
"11-01-2016","33,664","33,900","33,970","33,530","16.83K","-0.47%"
"08-01-2016","33,824","34,400","34,400","33,706","25.33K","-2.05%"
"07-01-2016","34,531","33,825","34,589","33,639","32.57K","2.24%"
"06-01-2016","33,774","33,691","34,125","33,625","29.24K","0.32%"
"05-01-2016","33,666","33,600","33,900","33,543","21.01K","0.40%"
"04-01-2016","33,533","33,364","34,164","33,364","34.34K","0.59%"
"01-01-2016","33,335","33,399","33,411","33,233","2.64K","0.11%"
"31-12-2015","33,299","33,543","33,566","33,173","13.27K","-0.27%"
"30-12-2015","33,390","33,656","33,696","33,217","18.83K","-0.50%"
"29-12-2015","33,558","33,645","33,800","33,513","17.52K","0.32%"
"28-12-2015","33,451","34,222","34,236","33,421","21.35K","-2.60%"
"24-12-2015","34,345","34,237","34,399","34,173","7.30K","0.38%"
"23-12-2015","34,215","34,175","34,338","34,065","15.20K","-0.21%"
"22-12-2015","34,286","34,224","34,531","34,140","16.37K","-0.04%"
"21-12-2015","34,301","34,033","34,350","33,874","22.72K","1.08%"
"18-12-2015","33,933","33,182","34,146","33,115","24.45K","2.30%"
"17-12-2015","33,170","34,159","34,159","33,030","28.44K","-3.58%"
"16-12-2015","34,400","33,629","34,460","33,502","23.21K","2.40%"
"15-12-2015","33,593","33,433","33,645","33,335","17.78K","0.32%"
"14-12-2015","33,487","33,917","33,950","33,380","19.06K","-1.46%"
"11-12-2015","33,983","34,151","34,292","33,626","22.20K","-0.68%"
"10-12-2015","34,215","34,396","34,496","34,190","14.15K","-0.84%"
"09-12-2015","34,506","34,374","34,799","34,301","18.72K","0.39%"
"08-12-2015","34,373","34,725","34,725","34,225","18.89K","-1.14%"
"07-12-2015","34,771","35,136","35,359","34,750","16.12K","1.01%"
"04-12-2015","34,424","33,600","34,490","33,521","0.16K","2.83%"
"03-12-2015","33,477","33,185","33,621","33,102","0.18K","0.75%"
"02-12-2015","33,228","33,413","33,615","33,200","0.46K","-0.21%"
"01-12-2015","33,299","33,597","33,763","33,256","3.74K","-0.54%"
"30-11-2015","33,480","33,641","33,779","33,412","15.41K","-0.66%"
"27-11-2015","33,701","33,900","33,962","33,511","18.24K","-1.11%"
"26-11-2015","34,081","33,885","34,324","33,873","14.68K","0.79%"
"25-11-2015","33,814","33,725","33,864","33,484","11.49K","-0.22%"
"24-11-2015","33,889","33,643","33,997","33,566","17.40K","0.84%"
"23-11-2015","33,608","33,465","33,799","33,152","21.46K","0.06%"
